game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-11-29-NOP-MEM,2024-11-29,,NOP,MEM,-11.5,11.5,11.353805780410768,120,109,11,0,0,1,1,1,1,0.3538057804107684
2024-11-29-ORL-BKN,2024-11-29,,ORL,BKN,8.0,-8.0,-7.760066479444504,100,123,-23,0,1,0,0,0,1,15.239933520555496
2024-11-29-LAC-MIN,2024-11-29,,LAC,MIN,-6.5,6.5,6.526381896808744,93,92,1,0,1,0,1,1,1,5.526381896808744
2024-11-29-DET-IND,2024-11-29,,DET,IND,-4.5,4.5,4.24372985959053,106,130,-24,0,0,1,0,1,0,28.24372985959053
2024-11-29-TOR-MIA,2024-11-29,,TOR,MIA,-8.0,8.0,8.277998805046082,121,111,10,1,1,1,1,1,1,1.7220011949539185
2024-11-29-BOS-CHI,2024-11-29,,BOS,CHI,12.5,-12.5,-12.17976775765419,129,138,-9,1,1,1,0,0,1,3.17976775765419
2024-11-29-OKC-LAL,2024-11-29,,OKC,LAL,3.0,-3.0,-2.970407254993916,93,101,-8,0,1,0,0,0,1,5.029592745006084
2024-11-29-SAC-POR,2024-11-29,,SAC,POR,7.0,-7.0,-6.627321183681488,115,106,9,1,1,1,1,0,0,15.627321183681488
2024-12-03-PHI-CHA,2024-12-03,,PHI,CHA,5.0,-5.0,-4.852639481425285,104,110,-6,0,1,0,0,0,1,1.1473605185747147
2024-12-03-WAS-CLE,2024-12-03,,WAS,CLE,-16.0,16.0,18.84167957305908,118,87,31,1,1,1,1,1,1,12.158320426940922
2024-12-03-MIL-DET,2024-12-03,,MIL,DET,2.5,-2.5,-1.9503147602081297,107,128,-21,0,1,0,0,0,1,19.04968523979187
2024-12-03-ORL-NYK,2024-12-03,,ORL,NYK,-5.0,5.0,6.14750349521637,121,106,15,1,1,1,1,1,1,8.85249650478363
2024-12-03-IND-TOR,2024-12-03,,IND,TOR,3.0,-3.0,-2.8669008016586304,122,111,11,1,1,1,1,0,0,13.86690080165863
2024-12-03-UTA-OKC,2024-12-03,,UTA,OKC,-13.5,13.5,15.314388990402222,133,106,27,1,1,1,1,1,1,11.685611009597778
2024-12-03-MEM-DAL,2024-12-03,,MEM,DAL,-4.5,4.5,4.241741806268692,121,116,5,1,0,0,1,1,1,0.758258193731308
2024-12-03-SAS-PHX,2024-12-03,,SAS,PHX,-6.5,6.5,6.480378651991487,104,93,11,1,0,0,1,1,1,4.519621348008513
2024-12-03-GSW-DEN,2024-12-03,,GSW,DEN,-5.0,5.0,4.323994159698486,119,115,4,0,0,1,1,1,1,0.32399415969848633
2024-12-03-HOU-SAC,2024-12-03,,HOU,SAC,-1.5,1.5,0.8376898765563965,120,111,9,1,0,0,1,1,1,8.162310123443604
2024-12-03-POR-LAC,2024-12-03,,POR,LAC,-8.5,8.5,8.639773219823837,127,105,22,1,1,1,1,1,1,13.360226780176163
2024-10-22-NYK-BOS,2024-10-22,,NYK,BOS,-6.0,6.0,6.354490071535111,132,109,23,1,1,1,1,1,1,16.64550992846489
2024-10-22-MIN-LAL,2024-10-22,,MIN,LAL,1.0,-1.0,-1.320385456085205,110,103,7,1,0,0,1,0,0,8.320385456085205
2024-10-23-IND-DET,2024-10-23,,IND,DET,5.0,-5.0,-4.702092707157135,109,115,-6,0,1,0,0,0,1,1.297907292842865
2024-10-23-BKN-ATL,2024-10-23,,BKN,ATL,-7.0,7.0,6.704427123069763,120,116,4,0,0,1,1,1,1,2.704427123069763
