block_start_index,block_end_index,n_games,ats_accuracy,roi_pct,first_date,last_date
1,50,50,54.0,3.140000000000004,2025-10-21,2025-10-27
51,100,50,62.0,18.42,2025-10-27,2025-11-03
101,150,50,50.0,-4.4999999999999964,2025-11-03,2025-11-10
151,185,35,65.71428571428571,25.514285714285712,2025-11-10,2025-11-14
