block_start_pick,block_end_pick,n_games,ats_accuracy,roi_pct,first_date,last_date
1,20,20,55.00000000000001,5.050000000000001,2025-10-22,2025-10-29
21,40,20,25.0,-52.25,2025-10-29,2025-11-07
41,54,14,42.857142857142854,-18.142857142857142,2025-11-07,2025-11-14
