segment,n_games,ats_accuracy,roi_pct
overall,185,54.59459459459459,4.2756756756756795
pick_away,76,48.68421052631579,-7.013157894736838
pick_favorite,74,58.108108108108105,10.98648648648649
pick_home,109,58.71559633027523,12.14678899082569
pick_underdog,111,52.25225225225225,-0.19819819819819479
road_favorite_picks,22,68.18181818181817,30.22727272727273
road_underdog_picks,54,40.74074074074074,-22.185185185185183
spread_0-3,36,58.333333333333336,11.416666666666668
spread_10+,36,52.77777777777778,0.8055555555555581
spread_3-6,66,54.54545454545454,4.181818181818186
spread_6-10,47,53.191489361702125,1.5957446808510676
