block_start_index,block_end_index,n_games,ats_accuracy,roi_pct,first_date,last_date
1,50,50,52.0,-0.6799999999999964,2025-10-21,2025-10-27
51,100,50,57.99999999999999,10.78,2025-10-27,2025-11-03
101,150,50,48.0,-8.319999999999997,2025-11-03,2025-11-10
151,185,35,62.857142857142854,20.057142857142857,2025-11-10,2025-11-14
