min_games,high_threshold,consecutive_days,hybrid_ats,improvement,days_context,switch_date
250,1.3,5,56.626506024096386,2.409638554216869,10,2025-11-14
350,1.25,3,56.626506024096386,2.409638554216869,8,2025-11-16
300,1.2,3,56.626506024096386,2.409638554216869,11,2025-11-13
300,1.25,3,56.626506024096386,2.409638554216869,11,2025-11-13
300,1.3,3,56.626506024096386,2.409638554216869,11,2025-11-13
250,1.3,7,56.626506024096386,2.409638554216869,8,2025-11-16
250,1.25,7,56.626506024096386,2.409638554216869,8,2025-11-16
250,1.25,5,56.626506024096386,2.409638554216869,10,2025-11-14
250,1.2,7,56.626506024096386,2.409638554216869,10,2025-11-14
350,1.2,3,56.626506024096386,2.409638554216869,8,2025-11-16
200,1.3,5,56.626506024096386,2.409638554216869,10,2025-11-14
200,1.25,7,56.626506024096386,2.409638554216869,8,2025-11-16
200,1.25,5,56.626506024096386,2.409638554216869,10,2025-11-14
200,1.3,7,56.626506024096386,2.409638554216869,8,2025-11-16
350,1.3,3,56.626506024096386,2.409638554216869,8,2025-11-16
150,1.25,7,56.626506024096386,2.409638554216869,8,2025-11-16
150,1.3,7,56.626506024096386,2.409638554216869,8,2025-11-16
300,1.2,5,56.22489959839358,2.00803212851406,9,2025-11-15
250,1.2,5,56.22489959839358,2.00803212851406,12,2025-11-12
300,1.25,5,56.22489959839358,2.00803212851406,9,2025-11-15
300,1.25,7,56.22489959839358,2.00803212851406,7,2025-11-17
200,1.25,3,56.22489959839358,2.00803212851406,12,2025-11-12
300,1.3,5,56.22489959839358,2.00803212851406,9,2025-11-15
200,1.3,3,56.22489959839358,2.00803212851406,12,2025-11-12
300,1.3,7,56.22489959839358,2.00803212851406,7,2025-11-17
300,1.2,7,56.22489959839358,2.00803212851406,7,2025-11-17
250,1.3,3,56.22489959839358,2.00803212851406,12,2025-11-12
250,1.25,3,56.22489959839358,2.00803212851406,12,2025-11-12
350,1.25,5,55.82329317269076,1.6064257028112436,6,2025-11-18
350,1.2,5,55.82329317269076,1.6064257028112436,6,2025-11-18
350,1.3,5,55.82329317269076,1.6064257028112436,6,2025-11-18
350,1.3,7,55.42168674698795,1.2048192771084345,4,2025-11-20
350,1.2,7,55.42168674698795,1.2048192771084345,4,2025-11-20
350,1.25,7,55.42168674698795,1.2048192771084345,4,2025-11-20
200,1.2,7,54.618473895582326,0.40160642570280913,14,2025-11-10
250,1.2,3,54.618473895582326,0.40160642570280913,14,2025-11-10
300,1.4,7,54.21686746987952,0.0,0,never
300,1.35,3,54.21686746987952,0.0,0,never
350,1.35,5,54.21686746987952,0.0,0,never
350,1.35,3,54.21686746987952,0.0,0,never
300,1.4,5,54.21686746987952,0.0,0,never
350,1.35,7,54.21686746987952,0.0,0,never
300,1.4,3,54.21686746987952,0.0,0,never
300,1.35,7,54.21686746987952,0.0,0,never
350,1.4,3,54.21686746987952,0.0,0,never
350,1.4,5,54.21686746987952,0.0,0,never
300,1.35,5,54.21686746987952,0.0,0,never
350,1.4,7,54.21686746987952,0.0,0,never
250,1.4,7,54.21686746987952,0.0,0,never
200,1.35,5,54.21686746987952,0.0,0,never
150,1.35,3,54.21686746987952,0.0,3,2025-11-03
150,1.35,5,54.21686746987952,0.0,0,never
150,1.35,7,54.21686746987952,0.0,0,never
150,1.4,3,54.21686746987952,0.0,3,2025-11-03
150,1.4,5,54.21686746987952,0.0,0,never
150,1.4,7,54.21686746987952,0.0,0,never
250,1.4,5,54.21686746987952,0.0,0,never
200,1.35,3,54.21686746987952,0.0,0,never
200,1.2,5,54.21686746987952,0.0,16,2025-11-08
200,1.35,7,54.21686746987952,0.0,0,never
200,1.4,3,54.21686746987952,0.0,0,never
200,1.4,5,54.21686746987952,0.0,0,never
200,1.4,7,54.21686746987952,0.0,0,never
250,1.35,3,54.21686746987952,0.0,0,never
250,1.35,5,54.21686746987952,0.0,0,never
250,1.35,7,54.21686746987952,0.0,0,never
250,1.4,3,54.21686746987952,0.0,0,never
150,1.2,5,52.610441767068274,-1.6064257028112436,19,2025-11-05
150,1.3,5,52.610441767068274,-1.6064257028112436,19,2025-11-05
150,1.25,5,52.610441767068274,-1.6064257028112436,19,2025-11-05
200,1.2,3,51.80722891566265,-2.409638554216869,18,2025-11-06
150,1.3,3,51.80722891566265,-2.409638554216869,21,2025-11-03
150,1.25,3,51.80722891566265,-2.409638554216869,21,2025-11-03
150,1.2,7,51.80722891566265,-2.409638554216869,17,2025-11-07
150,1.2,3,51.80722891566265,-2.409638554216869,21,2025-11-03
