total_fga,rim_attempt_rate,corner_3_rate,non_corner_3_rate,pullup_3_rate,catch_shoot_3_rate,short_mid_rate,long_mid_rate,mid_range_rate,ftr,shooting_fouls_per_100,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100,total_possessions,games_played,season,max_date,player_name
108,0.4537037037037037,0.1388888888888889,0.28703703703703703,0.009259259259259259,0.4166666666666667,0.12037037037037036,0.0,0.12037037037037036,0.19444444444444445,2.5817555938037864,0.0,0.5714285714285714,1.0,3.098106712564544,2.2375215146299485,1.3846153846153846,1.7211703958691909,0.5163511187607573,0.07032967032967033,3.614457831325301,581,41,2023-2024,2024-04-13,A.J. Lawson
196,0.04081632653061224,0.1326530612244898,0.7295918367346939,0.17857142857142858,0.6836734693877551,0.04591836734693878,0.05102040816326531,0.09693877551020408,0.09693877551020408,2.099737532808399,0.0,0.8571428571428571,0.9420289855072463,2.6246719160104988,1.0498687664041995,2.5,0.7874015748031495,0.3499562554680665,0.06264236902050115,4.286964129483815,1143,56,2023-2024,2024-04-13,AJ Green
710,0.6661971830985915,0.04929577464788732,0.14507042253521127,0.07042253521126761,0.12394366197183099,0.1267605633802817,0.01267605633802817,0.13943661971830987,0.3676056338028169,1.9756489777165174,0.0,0.6412429378531074,0.85,5.835056283023202,2.3891569032850906,2.4423076923076925,1.286469101768895,1.0107971513898462,0.09136109384711001,3.354008729611762,4353,72,2023-2024,2024-04-13,Aaron Gordon
407,0.19164619164619165,0.07125307125307126,0.45454545454545453,0.16461916461916462,0.36117936117936117,0.23832923832923833,0.044226044226044224,0.28255528255528256,0.1547911547911548,2.4348568987612134,0.0,0.25252525252525254,0.8072289156626506,5.89491670226399,2.135839384878257,2.76,1.751388295600171,0.25630072618539085,0.05218317358892439,5.339598462195643,2341,77,2023-2024,2024-04-13,Aaron Holiday
642,0.32554517133956384,0.11526479750778816,0.411214953271028,0.11838006230529595,0.40809968847352024,0.13862928348909656,0.009345794392523364,0.14797507788161993,0.21962616822429906,3.685439916947833,0.0,0.6931818181818182,0.9857142857142858,2.8030106410589153,1.6869971450817545,1.6615384615384616,1.6869971450817545,1.2717363093693226,0.07295988934993085,6.384635349078641,3853,72,2023-2024,2024-04-13,Aaron Nesmith
369,0.5013550135501355,0.0948509485094851,0.24390243902439024,0.06504065040650407,0.27371273712737126,0.14905149051490515,0.01084010840108401,0.15989159891598917,0.18699186991869918,2.493438320209974,0.0,0.6666666666666666,0.9666666666666667,3.718285214348206,2.4496937882764653,1.5178571428571428,2.405949256342957,0.8311461067366579,0.070267131242741,3.937007874015748,2286,77,2023-2024,2024-04-13,Aaron Wiggins
419,0.2577565632458234,0.1360381861575179,0.48448687350835323,0.07159904534606205,0.548926014319809,0.10978520286396182,0.011933174224343675,0.12171837708830549,0.07159904534606205,1.609538002980626,0.0,0.7264150943396226,1.0,5.007451564828614,1.4307004470938898,3.5,1.1326378539493294,1.8479880774962745,0.12638411607483774,2.8017883755588677,3355,65,2023-2024,2024-04-13,Al Horford
569,0.1265377855887522,0.1054481546572935,0.4833040421792619,0.22495606326889278,0.36379613356766255,0.22671353251318102,0.05799648506151142,0.28471001757469244,0.29349736379613356,1.685649202733485,0.17574692442882248,0.4880952380952381,0.7857142857142857,4.009111617312073,2.1867881548974943,1.8333333333333333,1.275626423690205,0.5466970387243736,0.0728744939271255,3.462414578587699,2195,66,2023-2024,2024-04-13,Alec Burks
114,0.2894736842105263,0.07894736842105263,0.37719298245614036,0.09649122807017543,0.35964912280701755,0.19298245614035087,0.06140350877192982,0.2543859649122807,0.34210526315789475,1.195814648729447,0.0,0.7586206896551724,1.0,4.783258594917788,2.391629297458894,2.0,2.092675635276532,1.9431988041853512,0.11879432624113476,2.9895366218236172,669,27,2023-2024,2024-04-13,Aleksej Pokusevski
533,0.24202626641651032,0.10318949343339587,0.5196998123827392,0.1294559099437148,0.49343339587242024,0.1200750469043152,0.0150093808630394,0.1350844277673546,0.17636022514071295,2.1875854525567404,0.0,0.43859649122807015,0.8805970149253731,6.535411539513262,2.7071369975389663,2.414141414141414,3.1446540880503147,1.9141372709871478,0.07137907137907137,4.949412086409626,3657,70,2023-2024,2024-04-13,Alex Caruso
80,0.625,0.0,0.05,0.0,0.05,0.3125,0.0125,0.325,0.375,4.161712247324614,0.0,0.7142857142857143,1.0,5.826397146254459,3.2104637336504163,1.8148148148148149,1.3079667063020213,3.804994054696789,0.12735849056603774,7.609988109393578,841,47,2023-2024,2024-04-13,Alex Len
982,0.5010183299389002,0.0010183299389002036,0.11507128309572301,0.007128309572301426,0.10896130346232179,0.3564154786150713,0.026476578411405296,0.38289205702647655,0.35845213849287166,3.0801357347950926,0.0,0.6260162601626016,0.9714285714285714,8.144087705559906,4.22866092404072,1.9259259259259258,1.9838162359697205,1.2007308796658835,0.1313915857605178,5.690420255807883,3831,63,2023-2024,2024-04-13,Alperen Sengun
437,0.6567505720823799,0.02745995423340961,0.12128146453089245,0.032036613272311214,0.11670480549199085,0.16933638443935928,0.02517162471395881,0.1945080091533181,0.34782608695652173,2.3603461841070024,0.0,0.4864864864864865,0.8888888888888888,6.018882769472856,3.4225019669551533,1.7586206896551724,2.9504327301337527,1.3768686073957515,0.12699203187250996,5.350118017309206,2542,61,2023-2024,2024-04-13,Amen Thompson
335,0.21194029850746268,0.14925373134328357,0.37910447761194027,0.050746268656716415,0.47761194029850745,0.2298507462686567,0.029850746268656716,0.25970149253731345,0.2,2.1961378265808404,0.0,0.797752808988764,0.9714285714285714,2.8019689511548656,1.21166224914805,2.3125,1.5145778114350625,0.4922377887163953,0.05835010060362173,3.8621734191594093,2641,69,2023-2024,2024-04-13,Amir Coffey
480,0.8145833333333333,0.0,0.00625,0.0,0.00625,0.17916666666666667,0.0,0.17916666666666667,0.45416666666666666,2.166064981949458,0.0,0.5580524344569289,0.0,1.4841556357801846,3.2490974729241873,0.4567901234567901,2.9281989570798235,1.9253910950661854,0.24089178901576944,5.816285599679102,2493,79,2023-2024,2024-04-13,Andre Drummond
100,0.31,0.13,0.34,0.08,0.39,0.21,0.01,0.22,0.11,3.3866415804327374,0.0,0.5,1.0,4.609595484477893,2.539981185324553,1.8148148148148149,1.4111006585136407,0.5644402634054563,0.08657465495608532,8.748824082784571,1063,56,2023-2024,2024-04-13,Andre Jackson Jr.
517,0.2495164410058027,0.04448742746615087,0.2862669245647969,0.11605415860735009,0.21470019342359767,0.3597678916827853,0.059961315280464215,0.4197292069632495,0.10831721470019343,2.0344287949921753,0.0,0.41836734693877553,0.9166666666666666,8.607198748043817,3.1298904538341157,2.75,1.9405320813771518,0.18779342723004694,0.04256198347107438,4.381846635367762,3195,67,2023-2024,2024-04-13,Andrew Nembhard
769,0.30299089726918077,0.04161248374512354,0.28738621586475943,0.053315994798439535,0.2756827048114434,0.2886866059817945,0.07932379713914174,0.3680104031209363,0.23797139141742524,2.0303194369247426,0.0,0.5930232558139535,0.898876404494382,3.140227395776936,2.328099621007038,1.3488372093023255,1.0828370330265296,1.1099079588521927,0.07553956834532374,3.9252842447211695,3694,70,2023-2024,2024-04-13,Andrew Wiggins
837,0.20908004778972522,0.022700119474313024,0.4647550776583035,0.3022700119474313,0.18518518518518517,0.23894862604540024,0.06451612903225806,0.3034647550776583,0.2126642771804062,1.9732205778717407,0.0,0.1625615763546798,0.6178343949044586,8.985200845665963,4.439746300211417,2.0238095238095237,0.810429880197322,0.1761804087385483,0.06531531531531531,3.558844256518675,2838,46,2023-2024,2024-04-13,Anfernee Simons
244,0.38934426229508196,0.10245901639344263,0.2827868852459016,0.06967213114754098,0.3155737704918033,0.18032786885245902,0.045081967213114756,0.22540983606557377,0.32786885245901637,2.9885057471264367,0.4098360655737705,0.7272727272727273,0.9444444444444444,4.183908045977011,2.528735632183908,1.6545454545454545,1.6091954022988506,0.9655172413793104,0.06422018348623854,5.103448275862069,2175,68,2023-2024,2024-04-13,Anthony Black
1290,0.4883720930232558,0.011627906976744186,0.07674418604651163,0.017054263565891473,0.07131782945736434,0.3558139534883721,0.06744186046511629,0.4232558139534884,0.4069767441860465,2.1256759276524333,0.0,0.6671532846715329,0.967741935483871,4.997203057989931,2.9834048107402573,1.675,1.6595189259742682,3.3936229722170426,0.17896543270409415,3.300391571881409,5363,76,2023-2024,2024-04-13,Anthony Davis
