cluster,rim_attempt_rate,corner_3_rate,non_corner_3_rate,long_mid_rate,mid_range_rate,pullup_3_rate,catch_shoot_3_rate,ftr,and1_rate,assisted_2pt_rate,assisted_3pt_rate,assists_per_100,turnovers_per_100,ast_to_ratio,steals_per_100,blocks_per_100,def_reb_share,total_fouls_per_100,cluster_name,player_count
0,0.24128238456457315,0.0288566366208149,0.23705142252152325,0.09362649531591395,0.49280955629308854,0.12260236151769939,0.14330569762463877,0.23964354867034096,0.02443605223685572,0.36101453568657543,0.7298153348268883,9.645421071870702,3.5434334024574956,2.819247805850348,1.7893487212544619,0.7730411275058224,0.08389512061005215,3.4048556363924933,Versatile Role Players,22
1,0.1508657317091883,0.10678477192900286,0.6369158213719681,0.017854331582518146,0.10543367498984065,0.19021235753436386,0.5534882357666071,0.1197260415600794,0.012156561653787725,0.7257630267658313,0.9487125305975773,4.105863475283647,1.7151605248962238,2.5018741541087954,1.413027404095264,0.6991642725399965,0.07053017167870863,3.8950113603405367,3&D Specialists,28
2,0.4631325741230646,0.06729086099415879,0.2485808880528097,0.013680553086791,0.22099567682996674,0.03206884055937522,0.2838029084875933,0.24199129766910804,0.0,0.6582567116888002,0.9749606271345402,4.967610884590427,2.494422377424019,2.1492505455991724,3.0970289229863095,1.4943513071016525,0.10022010285267774,5.840915203055729,Stretch Bigs,15
3,0.4002898561893359,0.08980726541618793,0.28350214485002073,0.02338808048720802,0.22640073354445536,0.06467577629517374,0.3086336339710349,0.2989083183179494,0.00896700143472023,0.6389797594798237,0.9621456569091177,4.120165793247349,1.654553428619574,2.5186370853010493,1.2445606879711864,0.7292825453999269,0.08747315995978468,3.7241747510924275,Slashing Wings,16
4,0.7762206349727154,0.000270270270270268,0.008288694689958612,0.006310972833974988,0.21522040006705567,0.002580247496934288,0.0059787174632945795,0.405941557705351,0.05834550860550053,0.7121516374452783,0.0,3.2620911285888052,2.6553090320722044,1.2651645186637521,1.4129330495967358,2.380573575491183,0.14315473471693896,6.4279045722025865,Rim-Running Centers,25
5,0.26369401324890535,0.039403323592702516,0.41062828741996626,0.04292638886687413,0.2862743757384258,0.22779031710601097,0.2222412939066578,0.1937737233724127,0.019481720323792043,0.3005537746301582,0.7048913697678535,9.503266736515153,4.162235115325617,2.354304519051097,2.5230856471115373,0.578841895213768,0.07026647497973323,4.992204483329584,Shot-Creating Wings,12
6,0.6902137089373589,0.017847049657409225,0.08199392505347951,0.011312745879431721,0.2099453163517524,0.007056612182406809,0.09278436252848195,0.36590399906292376,0.0,0.7026964288391793,0.9929511278195489,3.968722244933085,2.752463619051309,1.5468118680011311,1.5086547965937849,2.6429321619651147,0.1311596037341797,6.241786926772165,Versatile Role Players,24
7,0.24506871567474547,0.14386045345828805,0.469583126648645,0.02091331305673514,0.14148770421832138,0.08272642291427863,0.5307171571926544,0.1434694798518922,0.0,0.7165689237391079,0.9799139242978283,3.3237941056908795,1.7031920267409817,2.0734114286168213,1.5321723604520041,1.1278676764637718,0.09007459495767117,4.764267559878489,Floor-Spacing Centers,35
8,0.4060660845321544,0.06151194166944007,0.2967278858695664,0.021439481907664436,0.23569408792883897,0.028740472541500414,0.32949935499750604,0.265063349143311,0.028744103906536044,0.7018894336798309,0.9920365333755075,3.01257237959338,2.4940129129702076,1.218899531000345,1.2044230609108437,2.221454786447898,0.13332350900121737,5.050182031162639,Stretch Bigs,22
11,0.19279489290651589,0.1132169875477406,0.5017605549030101,0.043503098602242864,0.1922275646427333,0.18108661524741637,0.4338909272033343,0.13655307991295296,0.034363295880149816,0.6041348633303986,0.8923086605028809,4.901266595484732,2.0585150080603607,2.5244773210006874,2.512863421105778,0.9312281594957567,0.06128303180748642,4.521994579127347,Floor-Spacing Centers,20
12,0.37351881863971914,0.030893442870307333,0.11882209350705965,0.05623878012957876,0.4767656449829137,0.020601055086965085,0.12911448129040193,0.27285239760211183,0.01717853939800314,0.5702639389041619,0.961613691387929,5.579112753270016,2.627806046202506,2.214280825816969,1.7958846510530835,1.3905944910135781,0.12376901406674774,3.8804640492109477,Mid-Range Specialists,12
13,0.39659557263848705,0.11567420149319026,0.31651977454568964,0.015073431044184285,0.17121045132263296,0.07235565144243666,0.3598383245964432,0.24277417353825526,0.0,0.6080814177785325,0.9552118401013799,3.7267654528181753,2.298403489950395,1.6369561621512199,1.9121796995078948,0.9640935044500187,0.07293460974200183,4.785548398812712,Floor-Spacing Centers,31
14,0.30544666213361604,0.09619677916339395,0.42553475912010685,0.02928861594690831,0.17282179958288305,0.09728320515457517,0.4244483331289256,0.1927864257463246,0.325816932080503,0.6584188334700839,0.9601159730520672,4.4450180723490655,2.3047624654542256,1.9601566410217592,1.4056652547663513,0.7185888917820299,0.08704472427833647,4.455844932750072,3&D Specialists,13
15,0.2508705063870811,0.034074118869437044,0.40385175110207516,0.06658334485642312,0.31120362364140663,0.2318278149345968,0.20609805503691536,0.24388989933982289,0.04053480547329655,0.3785356747184741,0.6754691785592781,7.680231166010387,4.067376172914165,1.900234721740407,1.4540989728763123,0.5510065253752433,0.0739059275199324,3.423691529119142,Versatile Role Players,22
16,0.20058312202034106,0.023297506950652698,0.48810213196479724,0.051438315028266623,0.28801723906420884,0.37390363476612964,0.13749600414932028,0.3606777363026129,0.02421307506053268,0.22386947939703408,0.40954663674339437,14.019632768866472,4.676790171261929,3.1207352388565206,1.7820857661457192,0.7534079926135224,0.08705386334576512,2.7644262240058275,Secondary Playmakers,5
17,0.26229663732664515,0.06739261304622714,0.38810534070976477,0.04787269453239997,0.2822054089173628,0.12431547036660635,0.33118248338938555,0.23540290648702505,0.012681419280235195,0.5871337526325885,0.8975255995289169,3.9450285998318426,2.781238052730704,1.4527663179440233,1.3887891413383229,0.7573624848203483,0.0853001458933158,4.068214845712297,3&D Specialists,30
19,0.15341469225089846,0.08345222181179458,0.4796098267030513,0.09693098407994295,0.2835232592342556,0.15860230283192195,0.404459745682924,0.13540267587454002,0.012191457426830565,0.6005385029791149,0.9068006859401146,3.9652241871060228,2.0849511436461974,1.9628025629137043,1.3611074909403376,0.6018547223140801,0.07284618909640976,3.5258963302931807,3&D Specialists,17
20,0.22801594098845038,0.06272343208580282,0.43047604407623036,0.043418152451970296,0.27878458284951635,0.19884220127509322,0.29435727488693997,0.17866226515339653,0.010774164897779118,0.3584679521886216,0.7780659500832963,9.041449068136318,2.7521528786665117,3.336145687781947,1.7442205643275563,0.6377301669184089,0.06803749932362227,3.624685549653397,Versatile Role Players,29
21,0.43692239930923127,0.033655666180269314,0.22615706036106695,0.026708442902405864,0.3032648741494323,0.05748416680380605,0.2023285597375302,0.3158718068307423,0.020450846319732686,0.5299676669105746,0.888275420080074,7.970997751074334,4.194696109326658,1.8941995859004275,1.5708531888866761,1.1488995282254892,0.11931226722089662,4.716563222603643,Stretch Bigs,26
-1,0.2516867645372284,0.06940628037850292,0.3785967271261464,0.05925788204186031,0.3003102279581221,0.1232211679111343,0.32478183959351503,0.23896384644139423,0.3164230987432219,0.5922830598070746,0.8851694222816969,7.5786886170185195,2.6290658388136623,4.81908483329536,2.1208920227258217,1.5485832068853935,0.09518147797600657,2.9600510769959496,Other / Unique Stars,8
