player_name,cluster,cluster_name,games_played
Dejounte Murray,23,Primary Scoring Guard (Facilitator),77
Delon Wright,-1,Other / Unique Stars,46
Deni Avdija,12,High-Usage Slashing Wing,74
Dennis Schroder,23,Primary Scoring Guard (Facilitator),80
Dennis Smith Jr.,19,High-Usage Versatile Role Player (Facilitator),56
Dereck Lively II,6,Low-Usage Rim-Running Center (Defensive),55
Derrick Jones Jr.,18,Corner Specialist (Off-Ball),76
Derrick White,8,Primary Shot-Creating Guard (Facilitator),73
Desmond Bane,8,Primary Shot-Creating Guard (Facilitator),42
Devin Booker,23,Primary Scoring Guard (Facilitator),67
Devin Vassell,23,Primary Scoring Guard (Facilitator),68
Dillon Brooks,13,Pull-Up Shooter (Defensive),72
Domantas Sabonis,12,High-Usage Slashing Wing,81
Dominick Barlow,10,Mid-Range Scorer (Defensive),33
Donovan Mitchell,11,High-Usage Scoring Guard (Self-Creator),55
Donte DiVincenzo,13,Pull-Up Shooter (Defensive),80
Dorian Finney-Smith,18,Corner Specialist (Off-Ball),68
Doug McDermott,3,Low-Usage Corner Specialist (Off-Ball),63
Draymond Green,12,High-Usage Slashing Wing,55
Drew Eubanks,17,Low-Usage Defensive Anchor (Defensive),74
Duncan Robinson,3,Low-Usage Corner Specialist (Off-Ball),68
Duop Reath,15,Low-Usage 3&D Wing (Defensive),67
Dwight Powell,17,Low-Usage Defensive Anchor (Defensive),62
Dyson Daniels,16,Scoring Big (Defensive),60
Eric Gordon,3,Low-Usage Corner Specialist (Off-Ball),68
Eugene Omoruyi,16,Scoring Big (Defensive),42
Evan Fournier,13,Pull-Up Shooter (Defensive),31
Evan Mobley,17,Low-Usage Defensive Anchor (Defensive),49
Franz Wagner,19,High-Usage Versatile Role Player (Facilitator),71
Fred VanVleet,8,Primary Shot-Creating Guard (Facilitator),73
Furkan Korkmaz,13,Pull-Up Shooter (Defensive),35
GG Jackson,22,Role Player,47
Garrett Temple,18,Corner Specialist (Off-Ball),26
Garrison Mathews,3,Low-Usage Corner Specialist (Off-Ball),65
Gary Harris,4,Corner Specialist (Off-Ball),53
Gary Payton II,16,Scoring Big (Defensive),44
Gary Trent Jr.,2,Pull-Up Shooter,70
Georges Niang,18,Corner Specialist (Off-Ball),81
Giannis Antetokounmpo,12,High-Usage Slashing Wing,73
Goga Bitadze,17,Low-Usage Defensive Anchor (Defensive),61
Gordon Hayward,23,Primary Scoring Guard (Facilitator),50
Gradey Dick,2,Pull-Up Shooter,59
Grant Williams,18,Corner Specialist (Off-Ball),76
Grayson Allen,3,Low-Usage Corner Specialist (Off-Ball),74
Harrison Barnes,18,Corner Specialist (Off-Ball),81
Haywood Highsmith,18,Corner Specialist (Off-Ball),65
Herbert Jones,18,Corner Specialist (Off-Ball),75
Immanuel Quickley,8,Primary Shot-Creating Guard (Facilitator),68
Isaac Okoro,18,Corner Specialist (Off-Ball),68
Isaiah Hartenstein,17,Low-Usage Defensive Anchor (Defensive),74
Isaiah Jackson,6,Low-Usage Rim-Running Center (Defensive),59
Isaiah Joe,3,Low-Usage Corner Specialist (Off-Ball),77
Isaiah Stewart,15,Low-Usage 3&D Wing (Defensive),46
Ish Smith,23,Primary Scoring Guard (Facilitator),43
Ivica Zubac,24,Post-Up Center (Aggressive),68
JT Thor,15,Low-Usage 3&D Wing (Defensive),62
JaVale McGee,17,Low-Usage Defensive Anchor (Defensive),45
Jabari Smith Jr.,15,Low-Usage 3&D Wing (Defensive),75
Jabari Walker,1,Scoring Big,72
Jacob Gilyard,8,Primary Shot-Creating Guard (Facilitator),40
Jaden Hardy,22,Role Player,72
Jaden Ivey,22,Role Player,76
Jaden McDaniels,18,Corner Specialist (Off-Ball),71
Jaden Springer,16,Scoring Big (Defensive),48
Jae Crowder,4,Corner Specialist (Off-Ball),49
Jae'Sean Tate,1,Scoring Big,65
Jaime Jaquez Jr.,1,Scoring Big,74
Jake LaRavia,13,Pull-Up Shooter (Defensive),34
Jakob Poeltl,6,Low-Usage Rim-Running Center (Defensive),50
Jalen Brunson,23,Primary Scoring Guard (Facilitator),76
Jalen Duren,24,Post-Up Center (Aggressive),61
Jalen Green,11,High-Usage Scoring Guard (Self-Creator),81
Jalen Johnson,1,Scoring Big,56
Jalen McDaniels,1,Scoring Big,49
Jalen Pickett,8,Primary Shot-Creating Guard (Facilitator),27
Jalen Smith,15,Low-Usage 3&D Wing (Defensive),60
Jalen Suggs,13,Pull-Up Shooter (Defensive),74
Jalen Williams,23,Primary Scoring Guard (Facilitator),70
Jalen Wilson,1,Scoring Big,42
Jamal Cain,1,Scoring Big,25
Jamal Murray,23,Primary Scoring Guard (Facilitator),58
James Harden,5,High-Usage Elite Perimeter Creator (Facilitator),72
James Wiseman,6,Low-Usage Rim-Running Center (Defensive),62
Jarace Walker,13,Pull-Up Shooter (Defensive),33
Jared Butler,19,High-Usage Versatile Role Player (Facilitator),39
Jaren Jackson Jr.,12,High-Usage Slashing Wing,66
Jarred Vanderbilt,16,Scoring Big (Defensive),30
Jarrett Allen,24,Post-Up Center (Aggressive),76
Jaxson Hayes,24,Post-Up Center (Aggressive),70
Jaylen Brown,22,Role Player,70
Jaylin Williams,15,Low-Usage 3&D Wing (Defensive),68
Jayson Tatum,11,High-Usage Scoring Guard (Self-Creator),74
Jeff Green,15,Low-Usage 3&D Wing (Defensive),77
Jerami Grant,22,Role Player,54
Jeremiah Robinson-Earl,15,Low-Usage 3&D Wing (Defensive),38
Jeremy Sochan,1,Scoring Big,74
Jericho Sims,24,Post-Up Center (Aggressive),45
Jevon Carter,2,Pull-Up Shooter,71
Jimmy Butler,0,Primary Mid-Range Playmaker (Facilitator),59
Jock Landale,17,Low-Usage Defensive Anchor (Defensive),55
Joe Ingles,8,Primary Shot-Creating Guard (Facilitator),67
Joel Embiid,7,High-Usage Mid-Range Playmaker (Aggressive),39
John Collins,15,Low-Usage 3&D Wing (Defensive),68
John Konchar,18,Corner Specialist (Off-Ball),55
Johnny Davis,1,Scoring Big,49
Jonas Valanciunas,10,Mid-Range Scorer (Defensive),81
Jonathan Isaac,15,Low-Usage 3&D Wing (Defensive),57
Jonathan Kuminga,1,Scoring Big,73
Jontay Porter,16,Scoring Big (Defensive),26
