group,side,rest_0_frac,rest_1_frac,rest_2_frac,rest_3_plus_frac
current_early,home,0.15,0.55,0.29,0.01
current_early,away,0.14,0.62,0.24,0.0
current_late,home,0.21176470588235294,0.6588235294117647,0.10588235294117647,0.023529411764705882
current_late,away,0.18823529411764706,0.6588235294117647,0.15294117647058825,0.0
current_all,home,0.1783783783783784,0.6,0.20540540540540542,0.016216216216216217
current_all,away,0.16216216216216217,0.6378378378378379,0.2,0.0
training_all,home,0.0998974358974359,0.5023589743589744,0.2998974358974359,0.09784615384615385
training_all,away,0.13005128205128205,0.5027692307692307,0.28512820512820514,0.08205128205128205
