feature,importance,importance_std,baseline_ats
home_minutes_missing_top2,0.005000000000000037,0.0026194479161516255,0.5075842696629214
away_minutes_missing_top2,0.004719101123595515,0.0021787325201870988,0.5075842696629214
away_ftr,0.0030337078651685888,0.0002102054711670634,0.5075842696629214
home_ftr,0.002022471910112378,0.0008218392605802028,0.5075842696629214
diff_edge,0.001966292134831482,0.0008520084768597056,0.5075842696629214
shared_team_weighted_ts_home,0.00196629213483146,0.0014757219704003947,0.5075842696629214
away_edge,0.00196629213483146,0.00017765604832405615,0.5075842696629214
home_orb_edge,0.0017415730337078772,0.0005148961455006269,0.5075842696629214
home_tpar,0.0016853932584270036,0.0015282551133410556,0.5075842696629214
home_rest_days,0.001629213483146108,0.0009795278524810723,0.5075842696629214
diff_ftr,0.0015730337078651902,0.0009162644061966436,0.5075842696629214
away_orb_edge,0.0015168539325842944,0.0007453089416529235,0.5075842696629214
shared_pace_mean,0.001404494382022503,0.0011917530019997995,0.5075842696629214
diff_usage_share_top2,0.0013483146067415851,0.0018834892824989014,0.5075842696629214
diff_minutes_missing_top2,0.0012921348314607118,0.0004204109423341268,0.5075842696629214
diff_tpar,0.0012921348314606895,0.0008811453450201016,0.5075842696629214
shared_implied_away_winprob,0.0011797752808988982,0.0019412530947383298,0.5075842696629214
diff_rest_days,0.0011235955056180026,0.001164968615355504,0.5075842696629214
diff_tov_edge,0.0009550561797752932,0.00042041094233416835,0.5075842696629214
away_tpar,0.0007303370786516883,0.0009986735300354513,0.5075842696629214
home_edge,0.00044943820224718767,0.0003810297743328979,0.5075842696629214
away_star_out,0.0003932584269663142,0.0004564066519458582,0.5075842696629214
away_tov_edge,0.0003370786516853741,0.00032758156712612185,0.5075842696629214
home_star_out,0.0003370786516853741,0.00032758156712612185,0.5075842696629214
home_tov_edge,0.00016853932584270925,0.0005209898031177352,0.5075842696629214
home_usage_share_top2,0.00016853932584268705,0.0001376117833024179,0.5075842696629214
diff_star_out,0.00016853932584268705,0.00028646177042654467,0.5075842696629214
away_rest_days,5.617977528089568e-05,0.00037265447082642823,0.5075842696629214
diff_orb_edge,0.0,0.0,0.5075842696629214
