feature,mu_coef,mu_abs_coef,sigma_coef,sigma_abs_coef,combined_importance
shared_team_weighted_ts_home,32.79659763381339,32.79659763381339,0.0011807025097184682,0.0011807025097184682,32.79777833632311
home_star_out,-12.861766961983731,12.861766961983731,-0.07353837738467398,0.07353837738467398,12.935305339368405
away_star_out,-9.564392495083569,9.564392495083569,-0.42588487765523747,0.42588487765523747,9.990277372738806
away_ftr,-6.896077116612926,6.896077116612926,-0.07821626688142141,0.07821626688142141,6.974293383494348
home_orb_edge,5.913579449277818,5.913579449277818,0.12756083765353976,0.12756083765353976,6.041140286931357
home_tpar,5.60018981846393,5.60018981846393,0.06535936639201463,0.06535936639201463,5.665549184855944
away_tpar,4.451770376953696,4.451770376953696,0.11730178168077574,0.11730178168077574,4.569072158634471
away_orb_edge,4.387796932175853,4.387796932175853,0.12932117714718616,0.12932117714718616,4.517118109323039
diff_ftr,4.286091155331522,4.286091155331522,0.06636064841357686,0.06636064841357686,4.352451803745098
diff_star_out,-3.2973744669094875,3.2973744669094875,0.35234650027056114,0.35234650027056114,3.649720967180049
diff_tov_edge,2.748087376580746,2.748087376580746,0.18425718425995127,0.18425718425995127,2.9323445608406975
shared_implied_away_winprob,2.375606543793639,2.375606543793639,0.2739709399452618,0.2739709399452618,2.649577483738901
home_ftr,-2.6099859612816045,2.6099859612816045,-0.011855618467843932,0.011855618467843932,2.6218415797494483
diff_usage_share_top2,-1.9697851314457853,1.9697851314457853,-0.4592351799142917,0.4592351799142917,2.429020311360077
diff_orb_edge,1.5257825171026385,1.5257825171026385,-0.001760339493646194,0.001760339493646194,1.5275428565962847
home_tov_edge,1.3740436882903662,1.3740436882903662,0.09212859212997568,0.09212859212997568,1.4661722804203419
away_tov_edge,-1.3740436882903633,1.3740436882903633,-0.09212859212997564,0.09212859212997564,1.466172280420339
diff_tpar,1.1484194415110744,1.1484194415110744,-0.05194241528876188,0.05194241528876188,1.2003618567998364
home_usage_share_top2,0.4023193319778763,0.4023193319778763,0.17574409136219266,0.17574409136219266,0.578063423340069
home_rest_days,0.2916081015694858,0.2916081015694858,0.013878952567845252,0.013878952567845252,0.30548705413733107
diff_rest_days,0.2425274261851399,0.2425274261851399,-0.029260233068105473,0.029260233068105473,0.2717876592532454
home_minutes_missing_top2,0.1996348016931955,0.1996348016931955,0.05536328794600683,0.05536328794600683,0.25499808963920234
away_minutes_missing_top2,0.16401852872228842,0.16401852872228842,0.05251322894248813,0.05251322894248813,0.21653175766477656
away_rest_days,0.04908067536879572,0.04908067536879572,0.043139185635944904,0.043139185635944904,0.09221986100474062
shared_pace_mean,0.06778721120484323,0.06778721120484323,0.01114347006269762,0.01114347006269762,0.07893068126754085
diff_minutes_missing_top2,0.03561627404426288,0.03561627404426288,0.002850059005569661,0.002850059005569661,0.03846633304983254
away_edge,0.02405186623960301,0.02405186623960301,0.007839742402132853,0.007839742402132853,0.03189160864173586
diff_edge,-0.029553926701561473,0.029553926701561473,-0.0005834082747085011,0.0005834082747085011,0.030137334976269973
home_edge,-0.00550206054143666,0.00550206054143666,0.007256334127516196,0.007256334127516196,0.012758394668952856
