feature,coefficient,abs_coefficient
diff_edge,-0.024257759113661233,0.024257759113661233
diff_orb_edge,0.019538016013904792,0.019538016013904792
away_ftr,-0.017560075285096538,0.017560075285096538
diff_tpar,0.01331460682979023,0.01331460682979023
home_tpar,0.006558500992573212,0.006558500992573212
