feature,accuracy_without,impact
diff_edge,0.5112377721361214,-0.010672340223429111
diff_tpar,0.5050625736086979,-0.016847538750852653
away_ftr,0.5047772548117061,-0.017132857547844438
diff_orb_edge,0.5036575265204414,-0.01825258583910916
home_tpar,0.5025321155311452,-0.019377996828405353
