game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,abs_error
2024-11-29-NOP-MEM,2024-11-29,,NOP,MEM,-11.5,11.5,11.519647913053632,120,109,11,0,1,0,1,1,1,0.5196479130536318
2024-11-29-ORL-BKN,2024-11-29,,ORL,BKN,8.0,-8.0,-8.017154237255454,100,123,-23,0,0,1,0,0,1,14.982845762744546
2024-11-29-LAC-MIN,2024-11-29,,LAC,MIN,-6.5,6.5,6.393778957426548,93,92,1,0,0,1,1,1,1,5.393778957426548
2024-11-29-DET-IND,2024-11-29,,DET,IND,-4.5,4.5,4.4255411103367805,106,130,-24,0,0,1,0,1,0,28.42554111033678
2024-11-29-TOR-MIA,2024-11-29,,TOR,MIA,-8.0,8.0,8.094482682645321,121,111,10,1,1,1,1,1,1,1.905517317354679
2024-11-29-BOS-CHI,2024-11-29,,BOS,CHI,12.5,-12.5,-13.005071938037872,129,138,-9,1,0,0,0,0,1,4.005071938037872
2024-11-29-OKC-LAL,2024-11-29,,OKC,LAL,3.0,-3.0,-3.147175699472428,93,101,-8,0,0,1,0,0,1,4.852824300527573
2024-11-29-SAC-POR,2024-11-29,,SAC,POR,7.0,-7.0,-6.750422298908234,115,106,9,1,1,1,1,0,0,15.750422298908234
2024-12-03-PHI-CHA,2024-12-03,,PHI,CHA,5.0,-5.0,-5.097539208829403,104,110,-6,0,0,1,0,0,1,0.9024607911705971
2024-12-03-WAS-CLE,2024-12-03,,WAS,CLE,-16.0,16.0,17.419415593147278,118,87,31,1,1,1,1,1,1,13.580584406852722
2024-12-03-MIL-DET,2024-12-03,,MIL,DET,2.5,-2.5,-2.053454726934433,107,128,-21,0,1,0,0,0,1,18.946545273065567
2024-12-03-ORL-NYK,2024-12-03,,ORL,NYK,-5.0,5.0,6.675464630126953,121,106,15,1,1,1,1,1,1,8.324535369873047
2024-12-03-IND-TOR,2024-12-03,,IND,TOR,3.0,-3.0,-3.278759151697159,122,111,11,1,0,0,1,0,0,14.278759151697159
2024-12-03-UTA-OKC,2024-12-03,,UTA,OKC,-13.5,13.5,15.635047912597656,133,106,27,1,1,1,1,1,1,11.364952087402344
2024-12-03-MEM-DAL,2024-12-03,,MEM,DAL,-4.5,4.5,4.067843496799469,121,116,5,1,0,0,1,1,1,0.932156503200531
2024-12-03-SAS-PHX,2024-12-03,,SAS,PHX,-6.5,6.5,6.51951040327549,104,93,11,1,1,1,1,1,1,4.48048959672451
2024-12-03-GSW-DEN,2024-12-03,,GSW,DEN,-5.0,5.0,4.384545743465424,119,115,4,0,0,1,1,1,1,0.3845457434654236
2024-12-03-HOU-SAC,2024-12-03,,HOU,SAC,-1.5,1.5,0.9250823855400084,120,111,9,1,0,0,1,1,1,8.074917614459991
2024-12-03-POR-LAC,2024-12-03,,POR,LAC,-8.5,8.5,8.568998984992504,127,105,22,1,1,1,1,1,1,13.431001015007496
2024-10-22-NYK-BOS,2024-10-22,,NYK,BOS,-6.0,6.0,6.1207215487957,132,109,23,1,1,1,1,1,1,16.8792784512043
2024-10-22-MIN-LAL,2024-10-22,,MIN,LAL,1.0,-1.0,-0.8489279001951218,110,103,7,1,1,1,1,0,0,7.848927900195122
2024-10-23-IND-DET,2024-10-23,,IND,DET,5.0,-5.0,-4.491216003894806,109,115,-6,0,1,0,0,0,1,1.508783996105194
2024-10-23-BKN-ATL,2024-10-23,,BKN,ATL,-7.0,7.0,6.605786949396133,120,116,4,0,0,1,1,1,1,2.6057869493961334
2024-10-23-ORL-MIA,2024-10-23,,ORL,MIA,-2.0,2.0,1.9076122865080836,97,116,-19,0,0,1,0,1,0,20.907612286508083
2024-10-23-MIL-PHI,2024-10-23,,MIL,PHI,4.0,-4.0,-3.75410869717598,109,124,-15,0,1,0,0,0,1,11.24589130282402
2024-10-23-CLE-TOR,2024-10-23,,CLE,TOR,6.5,-6.5,-5.126979112625122,106,136,-30,0,1,0,0,0,1,24.873020887374878
2024-10-23-CHA-HOU,2024-10-23,,CHA,HOU,-8.5,8.5,8.534819778054953,105,110,-5,0,1,0,0,1,0,13.534819778054953
2024-10-23-CHI-NOP,2024-10-23,,CHI,NOP,-5.0,5.0,5.237986728549004,123,111,12,1,1,1,1,1,1,6.762013271450996
2024-10-23-MEM-UTA,2024-10-23,,MEM,UTA,2.0,-2.0,-2.200466200709343,124,126,-2,0,0,1,0,0,1,0.20046620070934296
2024-10-23-PHX-LAC,2024-10-23,,PHX,LAC,5.0,-5.0,-4.998188605066389,113,116,-3,1,1,1,0,0,1,1.9981886050663888
2024-10-23-GSW-POR,2024-10-23,,GSW,POR,7.5,-7.5,-7.308552488684654,104,139,-35,0,1,0,0,0,1,27.691447511315346
2024-10-24-BOS-WAS,2024-10-24,,BOS,WAS,14.0,-14.0,-14.366533100605013,102,122,-20,0,0,1,0,0,1,5.633466899394987
2024-10-24-SAS-DAL,2024-10-24,,SAS,DAL,-9.0,9.0,9.019580898806453,120,109,11,1,1,1,1,1,1,1.9804191011935472
2024-10-24-OKC-DEN,2024-10-24,,OKC,DEN,-2.0,2.0,2.650466740131378,87,102,-15,0,1,0,0,1,0,17.650466740131378
2024-10-24-MIN-SAC,2024-10-24,,MIN,SAC,1.0,-1.0,-0.5516513288021088,115,117,-2,0,1,0,0,0,1,1.4483486711978912
2024-10-25-BKN-ORL,2024-10-25,,BKN,ORL,-12.0,12.0,12.081538639962671,116,101,15,1,1,1,1,1,1,2.9184613600373286
2024-10-25-PHI-TOR,2024-10-25,,PHI,TOR,5.5,-5.5,-5.21382337808609,115,107,8,1,1,1,1,0,0,13.21382337808609
2024-10-25-CHA-ATL,2024-10-25,,CHA,ATL,-5.5,5.5,5.446402098983526,125,120,5,0,0,1,1,1,1,0.44640209898352623
2024-10-25-DET-CLE,2024-10-25,,DET,CLE,-10.5,10.5,10.581538639962671,113,101,12,1,1,1,1,1,1,1.4184613600373286
2024-10-25-IND-NYK,2024-10-25,,IND,NYK,-4.5,4.5,4.726766258478165,123,98,25,1,1,1,1,1,1,20.273233741521835
2024-10-25-MEM-HOU,2024-10-25,,MEM,HOU,-4.0,4.0,4.012364344671369,128,108,20,1,1,1,1,1,1,15.987635655328631
2024-10-25-CHI-MIL,2024-10-25,,CHI,MIL,-9.0,9.0,8.780423268675804,122,133,-11,0,0,1,0,1,0,19.780423268675804
2024-10-25-GSW-UTA,2024-10-25,,GSW,UTA,6.5,-6.5,-6.22594290971756,86,127,-41,0,1,0,0,0,1,34.77405709028244
2024-10-25-PHX-LAL,2024-10-25,,PHX,LAL,-1.5,1.5,1.6970554143190384,123,116,7,1,1,1,1,1,1,5.302944585680962
2024-10-25-NOP-POR,2024-10-25,,NOP,POR,6.5,-6.5,-6.141923040151596,103,105,-2,1,1,1,0,0,1,4.141923040151596
2024-10-26-LAC-DEN,2024-10-26,,LAC,DEN,-7.5,7.5,7.530044654384255,104,109,-5,0,1,0,0,1,0,12.530044654384255
2024-10-26-MIA-CHA,2024-10-26,,MIA,CHA,6.0,-6.0,-5.669106692075729,106,114,-8,0,1,0,0,0,1,2.3308933079242706
2024-10-26-BOS-DET,2024-10-26,,BOS,DET,12.5,-12.5,-12.22594290971756,118,124,-6,1,1,1,0,0,1,6.22594290971756
2024-10-26-CLE-WAS,2024-10-26,,CLE,WAS,9.5,-9.5,-9.141923040151596,116,135,-19,0,1,0,0,0,1,9.858076959848404
2024-10-26-OKC-CHI,2024-10-26,,OKC,CHI,9.5,-9.5,-9.21382337808609,95,114,-19,0,1,0,0,0,1,9.78617662191391
2024-10-26-ORL-MEM,2024-10-26,,ORL,MEM,-1.0,1.0,1.0119158867746592,124,111,13,1,1,1,1,1,1,11.98808411322534
2024-10-26-TOR-MIN,2024-10-26,,TOR,MIN,-15.0,15.0,15.207285404205322,112,101,11,0,1,0,1,1,1,4.207285404205322
2024-10-26-HOU-SAS,2024-10-26,,HOU,SAS,1.5,-1.5,-1.280271202325821,109,106,3,1,1,1,1,0,0,4.280271202325821
2024-10-26-DAL-PHX,2024-10-26,,DAL,PHX,3.5,-3.5,-3.439434502273798,114,102,12,1,1,1,1,0,0,15.439434502273798
2024-10-26-SAC-LAL,2024-10-26,,SAC,LAL,-1.0,1.0,1.1872667372226715,131,127,4,1,1,1,1,1,1,2.8127332627773285
2024-10-27-PHI-IND,2024-10-27,,PHI,IND,-8.0,8.0,8.116710908710957,114,118,-4,0,1,0,0,1,0,12.116710908710957
2024-10-27-MIL-BKN,2024-10-27,,MIL,BKN,8.5,-8.5,-8.188797414302826,115,102,13,1,1,1,1,0,0,21.188797414302826
2024-10-27-NOP-POR,2024-10-27,,NOP,POR,6.5,-6.5,-6.131813913583756,125,103,22,1,1,1,1,0,0,28.131813913583755
2024-10-27-ATL-OKC,2024-10-27,,ATL,OKC,-10.5,10.5,10.560633976012468,128,104,24,1,1,1,1,1,1,13.439366023987532
2024-10-27-LAC-GSW,2024-10-27,,LAC,GSW,-9.0,9.0,9.021119164302943,104,112,-8,0,1,0,0,1,0,17.021119164302945
2024-10-28-IND-ORL,2024-10-28,,IND,ORL,-5.5,5.5,6.351761817932129,119,115,4,0,1,0,1,1,1,2.351761817932129
2024-10-28-WAS-ATL,2024-10-28,,WAS,ATL,-8.0,8.0,7.894834749400616,119,121,-2,0,0,1,0,1,0,9.894834749400616
2024-10-28-MIL-BOS,2024-10-28,,MIL,BOS,-9.0,9.0,10.522178292274477,119,108,11,1,1,1,1,1,1,0.4778217077255231
2024-10-28-DET-MIA,2024-10-28,,DET,MIA,-8.5,8.5,8.454969082027674,106,98,8,0,0,1,1,1,1,0.4549690820276737
2024-10-28-CLE-NYK,2024-10-28,,CLE,NYK,-3.0,3.0,5.076369524002075,104,110,-6,0,1,0,0,1,0,11.076369524002075
2024-10-28-DEN-TOR,2024-10-28,,DEN,TOR,8.5,-8.5,-8.859174907207489,125,127,-2,1,0,0,0,0,1,6.859174907207489
2024-10-28-CHI-MEM,2024-10-28,,CHI,MEM,-5.0,5.0,4.689279645681381,123,126,-3,0,0,1,0,1,0,7.689279645681381
2024-10-28-HOU-SAS,2024-10-28,,HOU,SAS,2.5,-2.5,-1.8621422052383425,101,106,-5,0,1,0,0,0,1,3.1378577947616577
2024-10-28-UTA-DAL,2024-10-28,,UTA,DAL,-11.5,11.5,11.33851458132267,110,102,8,0,0,1,1,1,1,3.33851458132267
2024-10-28-LAL-PHX,2024-10-28,,LAL,PHX,-4.5,4.5,3.9154857397079463,109,105,4,0,0,1,1,1,1,0.08451426029205367
2024-10-28-POR-SAC,2024-10-28,,POR,SAC,-13.0,13.0,13.076678238809109,111,98,13,0,1,0,1,1,1,0.07667823880910873
2024-10-29-DEN-BKN,2024-10-29,,DEN,BKN,5.5,-5.5,-5.347793728113174,139,144,-5,1,1,1,0,0,1,0.34779372811317444
2024-10-29-DAL-MIN,2024-10-29,,DAL,MIN,-4.0,4.0,4.687545359134674,114,120,-6,0,1,0,0,1,0,10.687545359134674
2024-10-29-SAC-UTA,2024-10-29,,SAC,UTA,6.5,-6.5,-6.175994694232941,96,113,-17,0,1,0,0,0,1,10.82400530576706
2024-10-29-NOP-GSW,2024-10-29,,NOP,GSW,1.5,-1.5,0.4686180353164673,124,106,18,1,1,1,1,1,1,17.531381964683533
2024-10-30-TOR-CHA,2024-10-30,,TOR,CHA,-6.5,6.5,7.652147531509399,138,133,5,0,1,0,1,1,1,2.6521475315093994
2024-10-30-LAL-CLE,2024-10-30,,LAL,CLE,-4.0,4.0,4.16722783446312,134,110,24,1,1,1,1,1,1,19.83277216553688
2024-10-30-BOS-IND,2024-10-30,,BOS,IND,6.5,-6.5,-5.916291534900665,135,132,3,1,1,1,1,0,0,8.916291534900665
2024-10-30-DET-PHI,2024-10-30,,DET,PHI,-4.0,4.0,4.267535954713821,95,105,-10,0,1,0,0,1,0,14.267535954713821
2024-10-30-ATL-WAS,2024-10-30,,ATL,WAS,5.5,-5.5,-5.720792785286903,133,120,13,1,0,0,1,0,0,18.720792785286903
2024-10-30-NYK-MIA,2024-10-30,,NYK,MIA,2.0,-2.0,-1.8311155289411545,107,116,-9,0,1,0,0,0,1,7.1688844710588455
2024-10-30-ORL-CHI,2024-10-30,,ORL,CHI,5.5,-5.5,-5.056901305913925,102,99,3,1,1,1,1,0,0,8.056901305913925
2024-10-30-BKN-MEM,2024-10-30,,BKN,MEM,-12.0,12.0,11.749269157648088,106,119,-13,0,0,1,0,1,0,24.749269157648087
2024-10-30-SAS-OKC,2024-10-30,,SAS,OKC,-12.5,12.5,15.20646858215332,105,93,12,0,1,0,1,1,1,3.2064685821533203
2024-10-30-NOP-GSW,2024-10-30,,NOP,GSW,-3.5,3.5,4.4297234416008,104,89,15,1,1,1,1,1,1,10.5702765583992
2024-10-30-POR-LAC,2024-10-30,,POR,LAC,-8.0,8.0,7.950766574591398,105,106,-1,0,0,1,0,1,0,8.950766574591398
2024-10-31-MIL-MEM,2024-10-31,,MIL,MEM,6.5,-6.5,-6.47069357149303,122,99,23,1,1,1,1,0,0,29.47069357149303
2024-10-31-HOU-DAL,2024-10-31,,HOU,DAL,-6.5,6.5,6.292783260345459,102,108,-6,0,0,1,0,1,0,12.292783260345459
2024-10-31-SAS-UTA,2024-10-31,,SAS,UTA,2.0,-2.0,-1.8627919554710388,88,106,-18,0,1,0,0,0,1,16.13720804452896
2024-10-31-PHX-LAC,2024-10-31,,PHX,LAC,4.0,-4.0,-3.5989507734775543,119,125,-6,0,1,0,0,0,1,2.4010492265224457
2024-11-01-BOS-CHA,2024-11-01,,BOS,CHA,10.5,-10.5,-9.023928165435793,109,124,-15,0,1,0,0,0,1,5.976071834564207
2024-11-01-ORL-CLE,2024-11-01,,ORL,CLE,-7.0,7.0,6.01951801776886,120,109,11,1,0,0,1,1,1,4.98048198223114
2024-11-01-NYK-DET,2024-11-01,,NYK,DET,6.0,-6.0,-5.788996323943138,98,128,-30,0,1,0,0,0,1,24.211003676056862
2024-11-01-SAC-ATL,2024-11-01,,SAC,ATL,6.0,-6.0,-5.919404394924641,115,123,-8,0,1,0,0,0,1,2.0805956050753593
2024-11-01-CHI-BKN,2024-11-01,,CHI,BKN,-1.0,1.0,1.0864425674080849,120,112,8,1,1,1,1,1,1,6.913557432591915
2024-11-01-LAL-TOR,2024-11-01,,LAL,TOR,9.0,-9.0,-9.080799542367458,125,131,-6,1,0,0,0,0,1,3.0807995423674583
2024-11-01-IND-NOP,2024-11-01,,IND,NOP,4.5,-4.5,-4.752350747585297,125,118,7,1,0,0,1,0,0,11.752350747585297
2024-11-01-DEN-MIN,2024-11-01,,DEN,MIN,-3.5,3.5,4.276827394962311,119,116,3,0,1,0,1,1,1,1.2768273949623108
2024-11-01-OKC-POR,2024-11-01,,OKC,POR,11.5,-11.5,-12.269261837005615,114,137,-23,0,0,1,0,0,1,10.730738162994385
2024-11-02-BOS-CHA,2024-11-02,,BOS,CHA,10.0,-10.0,-7.859153509140015,103,113,-10,0,1,0,0,0,1,2.1408464908599854
2024-11-02-MEM-PHI,2024-11-02,,MEM,PHI,1.0,-1.0,-0.5530421733856201,107,124,-17,0,1,0,0,0,1,16.44695782661438
2024-11-02-SAC-TOR,2024-11-02,,SAC,TOR,9.5,-9.5,-9.549163404852152,131,128,3,1,0,0,1,0,0,12.549163404852152
2024-11-02-GSW-HOU,2024-11-02,,GSW,HOU,-5.0,5.0,4.829836964607239,121,127,-6,0,0,1,0,1,0,10.829836964607239
2024-11-02-CLE-MIL,2024-11-02,,CLE,MIL,-2.0,2.0,1.1478697061538696,113,114,-1,0,0,1,0,1,0,2.1478697061538696
2024-11-02-MIN-SAS,2024-11-02,,MIN,SAS,3.5,-3.5,-3.324870333075524,113,103,10,1,1,1,1,0,0,13.324870333075523
2024-11-02-UTA-DEN,2024-11-02,,UTA,DEN,-11.0,11.0,13.889460563659668,129,103,26,1,1,1,1,1,1,12.110539436340332
2024-11-02-POR-PHX,2024-11-02,,POR,PHX,-13.0,13.0,12.574069678783417,103,97,6,0,0,1,1,1,1,6.574069678783417
