feature,importance,importance_std,baseline_ats
away_edge,0.044537815126050484,0.012492494745645797,0.5798319327731093
shared_implied_away_winprob,0.03697478991596644,0.01770698109723151,0.5798319327731093
shared_team_weighted_ts_home,0.027731092436974848,0.018042781977801573,0.5798319327731093
shared_is_home_favorite,0.020168067226890796,0.006722689075630228,0.5798319327731093
home_tpar,0.01764705882352945,0.022057823106565854,0.5798319327731093
shared_is_away_favorite,0.01680672268907568,0.007516194882352207,0.5798319327731093
home_usage_share_top2,0.015966386554621903,0.012716593235648388,0.5798319327731093
shared_is_home_underdog,0.01092436974789921,0.007563025210084039,0.5798319327731093
home_ftr,0.007563025210084085,0.01214859856705963,0.5798319327731093
away_ftr,0.006722689075630317,0.01713956139022783,0.5798319327731093
away_tov_edge,0.004201680672268959,0.007747516350666311,0.5798319327731093
home_edge,0.0033613445378151917,0.022611132852224727,0.5798319327731093
away_star_out,0.0,0.0,0.5798319327731093
away_minutes_missing_top2,0.0,0.0,0.5798319327731093
home_star_out,0.0,0.0,0.5798319327731093
home_minutes_missing_top2,0.0,0.0,0.5798319327731093
shared_is_away_underdog,0.0,0.0,0.5798319327731093
home_tov_edge,-0.00420168067226887,0.019617844588115562,0.5798319327731093
home_orb_edge,-0.008403361344537775,0.013550013022350482,0.5798319327731093
