feature,importance_2024-25_Holdout,importance_2025-26_Current,difference
away_edge,0.003726235741444872,0.044537815126050484,0.04081157938460561
shared_team_weighted_ts_home,-0.010342205323193914,0.027731092436974848,0.03807329776016876
shared_implied_away_winprob,5.551115123125783e-18,0.03697478991596644,0.036974789915966436
shared_is_home_favorite,-0.0025095057034220437,0.020168067226890796,0.02267757293031284
shared_is_away_favorite,-0.003802281368821303,0.01680672268907568,0.020609004057896986
home_usage_share_top2,-0.0028897338403041707,0.015966386554621903,0.018856120394926075
home_tpar,0.0009885931558935301,0.01764705882352945,0.01665846566763592
home_ftr,-0.004866920152091248,0.007563025210084085,0.012429945362175333
shared_is_home_underdog,0.0010646387832699555,0.01092436974789921,0.009859730964629254
away_ftr,-0.002053231939163497,0.006722689075630317,0.008775921014793815
home_minutes_missing_top2,0.0,0.0,0.0
shared_is_away_underdog,0.0,0.0,0.0
home_star_out,0.0,0.0,0.0
away_minutes_missing_top2,0.0,0.0,0.0
away_star_out,0.0,0.0,0.0
away_tov_edge,0.006768060836501888,0.004201680672268959,-0.0025663801642329285
home_tov_edge,0.0003041825095057016,-0.00420168067226887,-0.004505863181774572
home_edge,0.008821292775665391,0.0033613445378151917,-0.005459948237850199
home_orb_edge,-0.002281368821292784,-0.008403361344537775,-0.0061219925232449905
