category,2024-25_Holdout_importance,2025-26_Current_importance,difference,pct_change,num_features
Shooting,-0.009353612167300384,0.0453781512605043,0.05473176342780468,0.0,2
Role Indicators,-0.005247148288973391,0.04789915966386569,0.05314630795283908,0.0,4
Market Implied,5.551115123125783e-18,0.03697478991596644,0.036974789915966436,6.660786003505952e+17,1
Edge/Rating,0.010266159695817479,0.039495798319327896,0.02922963862351042,284.71833177715735,3
FTR,-0.006920152091254745,0.014285714285714401,0.021205866376969147,0.0,2
Player Availability,-0.0028897338403041707,0.015966386554621903,0.018856120394926075,0.0,5
Turnover,0.0070722433460075895,8.933825901280557e-17,-0.0070722433460075,-99.99999999999874,2
