feature,gain,weight,cover,gain_pct,weight_pct,cover_pct
home_orb_edge,1386.1143798828125,16.0,1305.3125,8.142192835084073,5.333333333333333,6.285439162388488
home_tov_edge,1357.28369140625,35.0,1380.7427978515625,7.972838106101134,11.666666666666666,6.648656819575437
shared_team_weighted_ts_home,1351.75390625,39.0,1665.1025390625,7.940355521884253,13.0,8.017927284398139
away_tov_edge,1327.2984619140625,10.0,2021.699951171875,7.796701472448808,3.3333333333333335,9.735042028399022
away_edge,1295.1265869140625,32.0,1947.59375,7.607720235461449,10.666666666666666,9.378200261372701
away_ftr,1272.754638671875,19.0,1944.8421630859375,7.476304878021891,6.333333333333333,9.364950612611686
shared_implied_away_winprob,1239.0733642578125,33.0,1339.4241943359375,7.278457257947518,11.0,6.449696364763036
home_edge,1218.59912109375,29.0,1219.8966064453125,7.158189235038548,9.666666666666666,5.874138111920467
home_ftr,1178.8634033203125,22.0,1037.45458984375,6.924777129048306,7.333333333333333,4.995629558595043
home_usage_share_top2,1174.460205078125,31.0,854.0322875976562,6.89891224394263,10.333333333333334,4.112400659926674
home_tpar,1109.8182373046875,28.0,1258.642822265625,6.519198004995685,9.333333333333334,6.060711811560475
shared_is_away_favorite,1067.0272216796875,2.0,2040.5,6.267838733434487,0.6666666666666666,9.825569440922163
shared_is_home_underdog,1035.3924560546875,1.0,1710.0,6.0820125377397165,0.3333333333333333,8.23412092329179
shared_is_home_favorite,1010.2804565429688,3.0,1042.0,5.9345018088515005,1.0,5.017516960274881
home_star_out,0.0,0.0,0.0,0.0,0.0,0.0
home_minutes_missing_top2,0.0,0.0,0.0,0.0,0.0,0.0
away_minutes_missing_top2,0.0,0.0,0.0,0.0,0.0,0.0
away_star_out,0.0,0.0,0.0,0.0,0.0,0.0
shared_is_away_underdog,0.0,0.0,0.0,0.0,0.0,0.0
