feature,gain,weight,cover,gain_pct,weight_pct,cover_pct
home_tov_edge,1413.3251953125,55.0,1661.345458984375,13.924950033034285,18.333333333333332,11.054994286222266
shared_implied_away_winprob,1392.00732421875,59.0,2347.06787109375,13.714913241235992,19.666666666666668,15.617956978182763
away_tov_edge,1371.062744140625,13.0,1958.84619140625,13.508554342365382,4.333333333333333,13.034636075523174
away_edge,1288.9765625,48.0,2401.166748046875,12.699790738957365,16.0,15.977943982916534
home_edge,1208.4315185546875,31.0,1910.3548583984375,11.90621137302875,10.333333333333334,12.711963023730332
away_ftr,1195.6087646484375,47.0,1813.6383056640625,11.779873706352578,15.666666666666666,12.068387702246467
home_tpar,1165.015380859375,23.0,1398.1304931640625,11.478448852386157,7.666666666666667,9.303498275891815
home_orb_edge,1115.1614990234375,24.0,1537.4583740234375,10.98725771263949,8.0,10.23061967528665
home_minutes_missing_top2,0.0,0.0,0.0,0.0,0.0,0.0
home_star_out,0.0,0.0,0.0,0.0,0.0,0.0
home_usage_share_top2,0.0,0.0,0.0,0.0,0.0,0.0
away_minutes_missing_top2,0.0,0.0,0.0,0.0,0.0,0.0
away_star_out,0.0,0.0,0.0,0.0,0.0,0.0
shared_team_weighted_ts_home,0.0,0.0,0.0,0.0,0.0,0.0
