feature,margin_experiment2_ftr_plus_role_gain,margin_xgboost_optimized_with2425_gain,total_importance
away_star_out,0.0,0.0,0.0
home_minutes_missing_top2,0.0,0.0,0.0
shared_is_away_underdog,0.0,0.0,0.0
home_star_out,0.0,0.0,0.0
away_minutes_missing_top2,0.0,0.0,0.0
shared_is_home_favorite,5.9345018088515005,0.0,5.9345018088515005
shared_is_home_underdog,6.0820125377397165,0.0,6.0820125377397165
shared_is_away_favorite,6.267838733434487,0.0,6.267838733434487
home_usage_share_top2,6.89891224394263,0.0,6.89891224394263
home_ftr,6.924777129048306,0.0,6.924777129048306
shared_team_weighted_ts_home,7.940355521884253,0.0,7.940355521884253
home_tpar,6.519198004995685,11.478448852386157,17.99764685738184
home_edge,7.158189235038548,11.90621137302875,19.0644006080673
home_orb_edge,8.142192835084073,10.98725771263949,19.129450547723565
away_ftr,7.476304878021891,11.779873706352578,19.256178584374467
away_edge,7.607720235461449,12.699790738957365,20.307510974418815
shared_implied_away_winprob,7.278457257947518,13.714913241235992,20.99337049918351
away_tov_edge,7.796701472448808,13.508554342365382,21.30525581481419
home_tov_edge,7.972838106101134,13.924950033034285,21.89778813913542
