segment,n_games,ats_accuracy,roi_pct
overall,185,56.75675675675676,8.40540540540541
pick_away,54,51.85185185185185,-0.9629629629629597
pick_favorite,90,58.88888888888889,12.477777777777781
pick_home,131,58.778625954198475,12.267175572519088
pick_underdog,95,54.736842105263165,4.547368421052634
road_favorite_picks,19,63.1578947368421,20.63157894736842
road_underdog_picks,35,45.714285714285715,-12.685714285714283
spread_0-3,36,58.333333333333336,11.416666666666666
spread_10+,36,61.111111111111114,16.722222222222225
spread_3-6,66,51.515151515151516,-1.6060606060606029
spread_6-10,47,59.57446808510638,13.787234042553195
