segment,n_games,ats_accuracy,roi_pct
overall,185,51.35135135135135,-1.9189189189189146
pick_away,34,38.23529411764706,-26.970588235294112
pick_favorite,94,53.191489361702125,1.5957446808510685
pick_home,151,54.3046357615894,3.721854304635766
pick_underdog,91,49.45054945054945,-5.549450549450547
road_favorite_picks,11,45.45454545454545,-13.181818181818175
road_underdog_picks,23,34.78260869565217,-33.565217391304344
spread_0-3,36,61.111111111111114,16.72222222222223
spread_10+,36,52.77777777777778,0.8055555555555575
spread_3-6,66,46.96969696969697,-10.287878787878782
spread_6-10,47,48.93617021276596,-6.531914893617017
