block_start_index,block_end_index,n_games,ats_accuracy,roi_pct,first_date,last_date
1,50,50,42.0,-19.779999999999994,2025-10-21,2025-10-27
51,100,50,64.0,22.24,2025-10-27,2025-11-03
101,150,50,44.0,-15.959999999999994,2025-11-03,2025-11-10
151,185,35,57.14285714285714,9.142857142857146,2025-11-10,2025-11-14
