game_id,date,game_time,away_team,home_team,market_spread_home,baseline_margin,pred_margin_mu,actual_home,actual_away,actual_margin,game_index,actual_home_covers,pred_home_covers,ats_correct,actual_home_wins,pred_home_wins,ml_correct,spread_abs,home_favored,away_favored,pick_side,pick_team,pick_is_favorite,pick_is_underdog,pick_location_bucket,spread_bucket,abs_error
2025-10-25-CHA-PHI,2025-10-25,,CHA,PHI,-4.5,4.5,4.59714138507843,125,121,4,29,0,1,0,1,1,1,4.5,True,False,home,PHI,True,False,home_favorite,3-6,0.5971413850784302
2025-10-25-CHI-ORL,2025-10-25,,CHI,ORL,-6.5,6.5,6.743295386433601,98,110,-12,30,0,1,0,0,1,0,6.5,True,False,home,ORL,True,False,home_favorite,6-10,18.7432953864336
2025-10-25-IND-MEM,2025-10-25,,IND,MEM,-1.5,1.5,1.469100683927536,128,103,25,31,1,0,0,1,1,1,1.5,True,False,away,IND,False,True,road_underdog,0-3,23.530899316072464
2025-10-25-OKC-ATL,2025-10-25,,OKC,ATL,8.5,-8.5,-8.362824395298958,100,117,-17,32,0,1,0,0,0,1,8.5,False,True,home,ATL,False,True,home_underdog,6-10,8.637175604701042
2025-10-25-PHX-DEN,2025-10-25,,PHX,DEN,-12.5,12.5,12.853402018547058,133,111,22,33,1,1,1,1,1,1,12.5,True,False,home,DEN,True,False,home_favorite,10+,9.146597981452942
2025-10-26-BKN-SAS,2025-10-26,,BKN,SAS,-10.5,10.5,10.464213218539951,118,107,11,34,1,0,0,1,1,1,10.5,True,False,away,BKN,False,True,road_underdog,10+,0.5357867814600485
2025-10-26-BOS-DET,2025-10-26,,BOS,DET,-2.5,2.5,2.486761674284935,119,113,6,35,1,0,0,1,1,1,2.5,True,False,away,BOS,False,True,road_underdog,0-3,3.513238325715065
2025-10-26-CHA-WAS,2025-10-26,,CHA,WAS,-1.5,1.5,1.449822098016739,113,139,-26,36,0,0,1,0,1,0,1.5,True,False,away,CHA,False,True,road_underdog,0-3,27.44982209801674
2025-10-26-IND-MIN,2025-10-26,,IND,MIN,-11.5,11.5,11.4014829993248,114,110,4,37,0,0,1,1,1,1,11.5,True,False,away,IND,False,True,road_underdog,10+,7.4014829993248
2025-10-26-LAL-SAC,2025-10-26,,LAL,SAC,-3.5,3.5,3.5092217419296503,120,127,-7,38,0,1,0,0,1,0,3.5,True,False,home,SAC,True,False,home_favorite,3-6,10.50922174192965
2025-10-26-MIL-CLE,2025-10-26,,MIL,CLE,-6.5,6.5,6.735742896795273,118,113,5,39,0,1,0,1,1,1,6.5,True,False,home,CLE,True,False,home_favorite,6-10,1.7357428967952728
2025-10-26-NYK-MIA,2025-10-26,,NYK,MIA,3.5,-3.5,-3.454849272966385,115,107,8,40,1,1,1,1,0,0,3.5,False,True,home,MIA,False,True,home_underdog,3-6,11.454849272966385
